id,Ticker,Company,Sector,City,State,Date,Weekly_Open,Weekly_Close,Weekly_Percentage,Weekly_Volume,Market_Cap
126,EOG,EOG Resources,Energy,Houston,Texas,2024-05-17,128,129,0.9,2340100,$74.68 B
127,TT,Trane Technologies,Industrials,Dublin,Ireland,2024-05-17,326,328,0.63,908400,$74.39 B
128,TGT,Target Corporation,Consumer Staples,Minneapolis,Minnesota,2024-05-17,160,160,-0.03,4004100,$74.08 B
129,MCK,McKesson,Health Care,Irving,Texas,2024-05-17,559,564,0.91,575700,$73.38 B
130,CVS,CVS Health,Health Care,Woonsocket,Rhode Island,2024-05-17,57,57,0.05,9605400,$72.41 B
131,TDG,TransDigm Group,Industrials,Cleveland,Ohio,2024-05-17,1296,1291,-0.32,208500,$72.30 B
132,CTAS,Cintas,Industrials,Mason,Ohio,2024-05-17,690,692,0.26,301500,$70.23 B
133,PH,Parker Hannifin,Industrials,Cleveland,Ohio,2024-05-17,545,545,-0.16,823300,$70.07 B
134,NOC,Northrop Grumman,Industrials,West Falls Church,Virginia,2024-05-17,471,470,-0.35,966700,$69.66 B
135,SLB,Schlumberger,Energy,Houston,Texas,2024-05-17,48,48,-0.23,5534400,$69.45 B
136,NXPI,NXP Semiconductors,Information Technology,Eindhoven,Netherlands,2024-05-17,269,267,-0.74,1344300,$68.45 B
137,BDX,Becton Dickinson,Health Care,Franklin Lakes,New Jersey,2024-05-17,237,236,-0.33,1785000,$68.29 B
138,MAR,Marriott International,Consumer Discretionary,Bethesda,Maryland,2024-05-17,238,237,-0.51,1217000,$67.90 B
139,PYPL,PayPal,Financials,San Jose,California,2024-05-17,64,64,0.62,8184300,$67.45 B
140,CEG,Constellation Energy,Utilities,Baltimore,Maryland,2024-05-17,216,213,-1.5,2754700,$67.18 B
141,ECL,Ecolab,Materials,Saint Paul,Minnesota,2024-05-17,233,233,0.03,785100,$66.73 B
142,CSX,CSX,Industrials,Jacksonville,Florida,2024-05-17,33,33,-1.18,8218400,$65.52 B
143,USB,U.S. Bank,Financials,Minneapolis,Minnesota,2024-05-17,41,41,-1.26,11358700,$64.65 B
144,EMR,Emerson Electric,Industrials,Ferguson,Missouri,2024-05-17,113,112,-0.44,1619700,$64.58 B
145,PNC,PNC Financial Services,Financials,Pittsburgh,Pennsylvania,2024-05-17,162,160,-1.06,1075100,$63.80 B
146,AON,Aon,Financials,London,UK,2024-05-17,293,292,-0.25,1498200,$63.59 B
147,FDX,FedEx,Industrials,Memphis,Tennessee,2024-05-17,260,257,-1.09,1419300,$63.30 B
148,MPC,Marathon Petroleum,Energy,Findlay,Ohio,2024-05-17,176,179,2.05,3125100,$63.30 B
149,PSX,Phillips 66,Energy,Houston,Texas,2024-05-17,145,147,1.09,1880600,$62.35 B
150,MSI,Motorola Solutions,Information Technology,Chicago,Illinois,2024-05-17,369,367,-0.48,423900,$61.34 B
151,WELL,Welltower,Real Estate,Toledo,Ohio,2024-05-17,101,101,-0.22,1913200,$60.56 B
152,ORLY,O'Reilly Auto Parts,Consumer Discretionary,Springfield,Missouri,2024-05-17,1005,1012,0.6,401900,$59.60 B
153,RSG,Republic Services,Industrials,Phoenix,Arizona,2024-05-17,188,188,0.08,711700,$59.26 B
154,CARR,Carrier Global,Industrials,Palm Beach Gardens,Florida,2024-05-17,65,65,-0.02,2380600,$58.77 B
155,APD,Air Products and Chemicals,Materials,Allentown,Pennsylvania,2024-05-17,258,262,1.82,2877900,$58.40 B
156,MMM,3M,Industrials,Saint Paul,Minnesota,2024-05-17,105,105,0.05,5395700,$58.25 B
157,ROP,Roper Technologies,Information Technology,Sarasota,Florida,2024-05-17,538,541,0.57,787900,$58.01 B
158,MNST,Monster Beverage,Consumer Staples,Corona,California,2024-05-17,53,54,0.33,5243000,$56.72 B
159,AJG,Arthur J. Gallagher & Co.,Financials,Rolling Meadows,Illinois,2024-05-17,257,257,0.15,708100,$56.31 B
160,OXY,Occidental Petroleum,Energy,Houston,Texas,2024-05-17,62,63,0.68,6598200,$56.22 B
161,SPG,Simon Property Group,Real Estate,Indianapolis,Indiana,2024-05-17,149,148,-0.57,1258400,$55.76 B
162,PCAR,Paccar,Industrials,Bellevue,Washington,2024-05-17,106,106,-0.11,1727100,$55.56 B
163,VLO,Valero Energy,Energy,San Antonio,Texas,2024-05-17,159,166,4.26,4097900,$54.71 B
164,COF,Capital One,Financials,Tysons Corner,Virginia,2024-05-17,142,141,-0.24,1380000,$54.16 B
165,EW,Edwards Lifesciences,Health Care,Irvine,California,2024-05-17,90,89,-1.26,2063400,$53.72 B
166,TFC,Truist,Financials,Charlotte,North Carolina,2024-05-17,40,39,-1.33,5698600,$53.48 B
167,AIG,American International Group,Financials,New York City,New York,2024-05-17,79,80,1.91,6778800,$53.45 B
168,MET,MetLife,Financials,New York City,New York,2024-05-17,73,74,0.62,2420000,$52.78 B
169,CPRT,Copart,Industrials,Dallas,Texas,2024-05-17,53,54,1.72,6566300,$52.40 B
170,NSC,Norfolk Southern Railway,Industrials,Atlanta,Georgia,2024-05-17,233,231,-0.84,1310800,$52.29 B
171,DXCM,Dexcom,Health Care,San Diego,California,2024-05-17,131,131,-0.27,2299300,$52.24 B
172,GM,General Motors,Consumer Discretionary,Detroit,Michigan,2024-05-17,46,45,-0.67,11238800,$52.21 B
173,SMCI,Supermicro,Information Technology,San Jose,California,2024-05-17,925,887,-4.03,5147300,$51.99 B
174,HLT,Hilton Worldwide,Consumer Discretionary,Tysons Corner,Virginia,2024-05-17,206,204,-1.12,896400,$51.06 B
175,MCHP,Microchip Technology,Information Technology,Chandler,Arizona,2024-05-17,94,94,-0.24,3609600,$50.97 B
176,MRNA,Moderna,Health Care,Cambridge,Massachusetts,2024-05-17,132,132,0.29,2704100,$50.93 B
177,PSA,Public Storage,Real Estate,Glendale,California,2024-05-17,288,288,0.02,764100,$50.73 B
178,AZO,AutoZone,Consumer Discretionary,Memphis,Tennessee,2024-05-17,2933,2917,-0.56,191000,$50.48 B
179,NEM,Newmont,Materials,Denver,Colorado,2024-05-17,43,43,0.55,10152600,$50.44 B
180,TRV,Travelers Companies (The),Financials,New York City,New York,2024-05-17,220,219,-0.27,1348900,$50.31 B
181,WMB,Williams Companies,Energy,Tulsa,Oklahoma,2024-05-17,41,41,0.36,6116900,$50.30 B
182,AFL,Aflac,Financials,Columbus,Georgia,2024-05-17,87,88,0.97,2300200,$50.21 B
183,DHI,DR Horton,Consumer Discretionary,Arlington,Texas,2024-05-17,152,151,-0.53,1490500,$49.89 B
184,SRE,Sempra Energy,Utilities,San Diego,California,2024-05-17,77,78,0.44,2587100,$49.47 B
185,AEP,American Electric Power,Utilities,Columbus,Ohio,2024-05-17,92,92,0.44,2908000,$48.85 B
186,F,Ford Motor Company,Consumer Discretionary,Dearborn,Michigan,2024-05-17,12,12,-0.73,23992600,$48.80 B
187,HES,Hess Corporation,Energy,New York City,New York,2024-05-17,157,158,0.69,2278400,$48.72 B
