Rank,Ticker,Company,Sector,City,State,Date,Weekly_Open,Weekly_Close,Weekly_Percentage,Weekly_Volume,Market_Cap
136,TDG,TransDigm Group,Industrials,Cleveland,Ohio,2024-03-01,1178,1183,0.45,196400,$65.80 B
137,TT,Trane Technologies,Industrials,Dublin,Ireland,2024-03-01,281,285,1.45,1089284,$64.94 B
138,PYPL,PayPal,Financials,San Jose,California,2024-03-01,60,60,0.02,17147957,$64.88 B
139,USB,U.S. Bank,Financials,Minneapolis,Minnesota,2024-03-01,41,41,-0.46,8899316,$64.54 B
140,ECL,Ecolab,Materials,Saint Paul,Minnesota,2024-03-01,223,225,1.0,978965,$64.39 B
141,ORLY,O'Reilly Auto Parts,Consumer Discretionary,Springfield,Missouri,2024-03-01,1085,1085,-0.02,233501,$64.12 B
142,MPC,Marathon Petroleum,Energy,Findlay,Ohio,2024-03-01,170,173,1.68,2342391,$63.74 B
143,CTAS,Cintas,Industrials,Mason,Ohio,2024-03-01,620,628,1.32,296565,$63.70 B
144,AON,Aon,Financials,London,UK,2024-03-01,316,314,-0.57,586097,$62.31 B
145,EMR,Emerson Electric,Industrials,Ferguson,Missouri,2024-03-01,108,108,-0.32,3218451,$61.82 B
146,PSX,Phillips 66,Energy,Houston,Texas,2024-03-01,143,144,0.68,1700716,$61.69 B
147,FDX,FedEx,Industrials,Memphis,Tennessee,2024-03-01,248,246,-0.58,1682002,$61.62 B
148,MNST,Monster Beverage,Consumer Staples,Corona,California,2024-03-01,58,58,-0.02,6361957,$61.57 B
149,PCAR,Paccar,Industrials,Bellevue,Washington,2024-03-01,111,113,1.53,2189327,$59.30 B
150,PNC,PNC Financial Services,Financials,Pittsburgh,Pennsylvania,2024-03-01,147,147,0.24,1750041,$58.80 B
151,ROP,Roper Technologies,Information Technology,Sarasota,Florida,2024-03-01,541,547,1.27,781365,$58.64 B
152,NSC,Norfolk Southern Railway,Industrials,Atlanta,Georgia,2024-03-01,252,257,1.81,1070244,$58.16 B
153,LULU,Lululemon Athletica,Consumer Discretionary,Vancouver,Canada,2024-03-01,461,458,-0.64,1294587,$57.86 B
154,RSG,Republic Services,Industrials,Phoenix,Arizona,2024-03-01,182,183,0.4,1248413,$57.78 B
155,ADSK,Autodesk,Information Technology,San Francisco,California,2024-03-01,275,264,-3.73,3851525,$56.63 B
