Rank,Ticker,Company,Sector,Location,Date,Weekly_Open,Weekly_Close,Weekly_Percentage,Weekly_Volume,Monthly_Volume,Market_Cap
148,CHTR,Charter Communications,Communication Services,"Stamford, Connecticut",2023-12-22,384,386,0.6285675372524524,635577,1245112,$57.61 B
149,MNST,Monster Beverage,Consumer Staples,"Corona, California",2023-12-22,55,55,-0.09932036023986507,3108998,5126525,$57.34 B
150,ORLY,O'Reilly Auto Parts,Consumer Discretionary,"Springfield, Missouri",2023-12-22,959,963,0.3889217215688326,255758,413648,$57.22 B
151,CTAS,Cintas,Industrials,"Mason, Ohio",2023-12-22,562,560,-0.27271596982919005,273678,413653,$57.17 B
152,ECL,Ecolab,Materials,"Saint Paul, Minnesota",2023-12-22,196,196,0.171001309507718,681361,1213716,$56.22 B
153,HUM,Humana,Health Care,"Louisville, Kentucky",2023-12-22,460,460,-0.0790908441191304,1252647,1666286,$56.22 B
154,TT,Trane Technologies,Industrials,"Dublin, Ireland",2023-12-22,240,241,0.4318180010603372,649501,1231508,$55.20 B
155,TDG,TransDigm Group,Industrials,"Cleveland, Ohio",2023-12-22,991,994,0.22599391748742903,101308,190113,$54.99 B
156,SPG,Simon Property Group,Real Estate,"Indianapolis, Indiana",2023-12-22,144,145,0.24290117452942547,1000006,1796048,$54.99 B
157,EMR,Emerson Electric,Industrials,"Ferguson, Missouri",2023-12-22,95,95,0.05390589850775054,1407855,3084297,$54.80 B
158,PXD,Pioneer Natural Resources,Energy,"Irving, Texas",2023-12-22,230,230,0.02890994996169451,1431172,2518214,$54.05 B
159,OXY,Occidental Petroleum,Energy,"Houston, Texas",2023-12-22,59,60,0.39031084741697347,8108766,12750372,$53.31 B
160,NSC,Norfolk Southern Railway,Industrials,"Atlanta, Georgia",2023-12-22,232,233,0.25951646232899334,647855,1187227,$52.73 B
161,EL,Estée Lauder Companies (The),Consumer Staples,"New York City, New York",2023-12-22,145,146,0.3706184653095431,2341637,3172646,$52.53 B
162,PSA,Public Storage,Real Estate,"Glendale, California",2023-12-22,291,293,0.5902583111353231,537729,1092859,$52.40 B
163,MSI,Motorola Solutions,Information Technology,"Chicago, Illinois",2023-12-22,313,313,0.09468900901272385,687487,809343,$51.91 B
164,RSG,Republic Services,Industrials,"Phoenix, Arizona",2023-12-22,162,163,0.06648369811918867,1044059,1257363,$51.24 B
165,ADSK,Autodesk,Information Technology,"San Francisco, California",2023-12-22,239,238,-0.11215189936923652,1200454,1712172,$51.23 B
166,PCAR,Paccar,Industrials,"Bellevue, Washington",2023-12-22,96,96,0.37769719079189473,1505410,2649193,$50.81 B
167,DHI,DR Horton,Consumer Discretionary,"Arlington, Texas",2023-12-22,149,150,0.19353687052529997,2509688,3458977,$50.48 B
168,CCI,Crown Castle,Real Estate,"Houston, Texas",2023-12-22,113,114,0.6164160351835358,3619758,4674748,$50.42 B
169,COF,Capital One,Financials,"Tysons Corner, Virginia",2023-12-22,130,130,0.38842007138444623,1917620,3399247,$50.03 B
170,WELL,Welltower,Real Estate,"Toledo, Ohio",2023-12-22,90,90,-0.8350639733242111,1971408,3081116,$49.86 B
171,GM,General Motors,Consumer Discretionary,"Detroit, Michigan",2023-12-22,35,35,0.4017016786878534,11801725,23492408,$49.51 B
172,MCHP,Microchip Technology,Information Technology,"Chandler, Arizona",2023-12-22,91,91,-0.43309038684893064,3149186,4885171,$49.19 B
173,MET,MetLife,Financials,"New York City, New York",2023-12-22,66,65,-0.07572389987637232,3694855,4093107,$49.09 B
174,TFC,Truist,Financials,"Charlotte, North Carolina",2023-12-22,36,36,0.11868256915584202,6980668,10746606,$48.80 B
175,F,Ford Motor Company,Consumer Discretionary,"Dearborn, Michigan",2023-12-22,11,12,0.2365712146535286,30687626,52154465,$48.30 B
176,AJG,Arthur J. Gallagher & Co.,Financials,"Rolling Meadows, Illinois",2023-12-22,225,225,0.0370325814835465,1143288,1201407,$48.20 B
177,NEM,Newmont,Materials,"Denver, Colorado",2023-12-22,41,41,0.23738793156505614,10783745,14514533,$48.07 B
178,CARR,Carrier Global,Industrials,"Palm Beach Gardens, Florida",2023-12-22,56,56,0.029253005195572085,2661003,4521265,$47.99 B
179,AFL,Aflac,Financials,"Columbus, Georgia",2023-12-22,81,81,0.4469794138681348,1566599,2485347,$47.69 B
180,AIG,American International Group,Financials,"New York City, New York",2023-12-22,66,67,0.2589146992345392,2458021,3916266,$47.39 B
181,CPRT,Copart,Industrials,"Dallas, Texas",2023-12-22,48,48,-0.48365060501540225,3268550,5135954,$46.88 B
182,SRE,Sempra Energy,Utilities,"San Diego, California",2023-12-22,75,74,-0.5212240698987028,2087105,3746493,$46.84 B
183,PAYX,Paychex,Industrials,"Penfield, New York",2023-12-22,127,128,0.5208836196426074,1710563,2092965,$46.71 B
184,VLO,Valero Energy,Energy,"San Antonio, Texas",2023-12-22,132,133,1.1697122955807815,3035317,3732861,$46.24 B
185,EW,Edwards Lifesciences,Health Care,"Irvine, California",2023-12-22,75,75,-0.6225531071867424,3792627,5756939,$45.90 B
186,HLT,Hilton Worldwide,Consumer Discretionary,"Tysons Corner, Virginia",2023-12-22,178,179,0.3624914042970257,1059289,1772217,$45.86 B
187,ROST,Ross Stores,Consumer Discretionary,"Dublin, California",2023-12-22,135,135,0.10329771335453104,1270979,2242635,$45.81 B
188,AZO,AutoZone,Consumer Discretionary,"Memphis, Tennessee",2023-12-22,2640,2643,0.11892242017249141,85350,163291,$45.70 B
189,KDP,Keurig Dr Pepper,Consumer Staples,"Burlington, Massachusetts",2023-12-22,32,32,0.7286127097782996,4638882,7437717,$45.48 B
190,HES,Hess Corporation,Energy,"New York City, New York",2023-12-22,146,146,0.18859820444941192,2120233,4491165,$45.48 B
191,IDXX,Idexx Laboratories,Health Care,"Westbrook, Maine",2023-12-22,545,544,-0.1660536385766689,305514,618521,$45.35 B
192,DXCM,Dexcom,Health Care,"San Diego, California",2023-12-22,122,121,-0.9715721701101198,2387331,2946914,$45.02 B
193,ODFL,Old Dominion,Industrials,"Thomasville, North Carolina",2023-12-22,396,401,1.4314187980964628,432479,878055,$44.88 B
194,PCG,PG&E Corporation,Utilities,"San Francisco, California",2023-12-22,17,17,-0.05702468408564296,18194337,22697388,$44.84 B
195,FTNT,Fortinet,Information Technology,"Sunnyvale, California",2023-12-22,57,57,0.36115741742747204,6614167,6825267,$44.80 B
196,KHC,Kraft Heinz,Consumer Staples,"Chicago, Illinois; Pittsburgh, Pennsylvania",2023-12-22,36,36,-0.16458675299523629,5303669,8413302,$44.12 B
197,STZ,Constellation Brands,Consumer Staples,"Victor, New York",2023-12-22,238,239,0.38925612642244034,840919,1112013,$44.04 B
